Brand Name,Category,Drink Type,Ownership Type,Region,Parent Company
Pepsi,Beverages,Soda,Owned,Global,PepsiCo
Mountain Dew,Beverages,Soda,Owned,Global,PepsiCo
Gatorade,Beverages,Sports Drink,Owned,Global,PepsiCo
Aquafina,Beverages,Water,Owned,Global,PepsiCo
Bubly,Beverages,Sparkling Water,Owned,Global,PepsiCo
Propel,Beverages,Enhanced Water,Owned,Global,PepsiCo
LIFEWTR,Beverages,Premium Water,Owned,Global,PepsiCo
Rockstar (International),Beverages,Energy Drink,Owned,International,PepsiCo
Celsius,Beverages,Energy Drink,Distributed,US & Canada,Celsius
Alani Nu,Beverages,Energy Drink,Distributed,US & Canada,Celsius
Rockstar (US),Beverages,Energy Drink,Distributed,US & Canada,PepsiCo
Dr Pepper,Beverages,Soda,Distributed,US,Keurig Dr Pepper
Crush,Beverages,Soda,Distributed,US,Keurig Dr Pepper
Schweppes,Beverages,Mixer,Distributed,US,Keurig Dr Pepper
Starbucks RTD,Beverages,Coffee,Partnered,Global,Starbucks
Lipton,Beverages,Tea,Partnered,Global,Unilever
Pure Leaf,Beverages,Tea,Partnered,Global,Unilever
Brisk,Beverages,Tea,Partnered,US,Unilever
